Albanian	sqi	sqi-Latn
Amharic	amh	amh-Ethi
Azerbaijani	aze	aze-Latn
Bengali	ben	ben-Beng
Catalan	cat	cat-Latn
Cebuano	ceb	ceb-Latn
Chewa	nya	nya-Latn
Czech	ces	ces-Latn
Dutch	nld	nld-Latn
English	eng	eng-Latn
French	fra	fra-Latn
German	deu	deu-Latn
Gothic	got	got-Latn
Hindi	hin	hin-Deva
Hungarian	hun	hun-Latn
Indonesian	ind	ind-Latn
Italian	ita	ita-Latn
Kabardian	kbd	kbd-Cyrl
Kashubian	csb	csb-Latn
Kazakh	kaz	kaz-Cyrl
Khalkha Mongolian	khk	mon-Cyrl-bab
Kyrgyz	kir	kir-Cyrl
Maltese	mlt	mlt-Latn
Maori	mao	mri-Latn
Oromo	orm	orm-Latn
Polish	pol	pol-Latn
Portuguese	por	por-Latn
Romanian	ron	ron-Latn
Russian	rus	rus-Cyrl
Serbo Croatian	hbs	hrv-Latn
Shona	sna	sna-Latn
Spanish	spa	spa-Latn
Swahili	swc	swa-Latn
Swedish	swe	swe-Latn
Tagalog	tgl	tgl-Latn
Tajik	tgk	tgk-Cyrl
Telugu	tel	tel-Telu
Turkish	tur	tur-Latn
Turkmen	tuk	tuk-Latn
Ukranian	ukr	ukr-Cyrl
Urdu	urd	urd-Arab
Uyghur	uig	uig-Arab
Uzbek	uzb	uzb-Latn
Zulu	zul	zul-Latn
